date_ref,date_forecast,ana_code,mean_precipitation
2022-07-05,2022-07-13,PSATLAJ,0.0
2022-07-05,2022-07-13,PSATPIME,0.5063999989877144
2022-07-05,2022-07-14,PSATCNV,9.859999847412109
2022-07-05,2022-07-14,PSATFUR,0.01428571449858802
2022-07-05,2022-07-14,PSATFZA,1.75
2022-07-05,2022-07-14,PSATIMBR,0.0
2022-07-05,2022-07-14,PSATITP,0.794444444278876
2022-07-05,2022-07-14,PSATJIRA,1.4819277169474638
2022-07-05,2022-07-14,PSATLAJ,0.0
2022-07-05,2022-07-14,PSATPIME,0.8120000014702479
2022-07-05,2022-07-15,PSATCNV,5.6999999523162845
2022-07-05,2022-07-15,PSATFUR,0.014285714498588016
2022-07-05,2022-07-15,PSATFZA,1.7000000476837158
2022-07-05,2022-07-15,PSATIMBR,0.0
2022-07-05,2022-07-15,PSATITP,0.31666666848791974
2022-07-05,2022-07-15,PSATJIRA,1.3409638622079991
2022-07-05,2022-07-15,PSATLAJ,0.0
2022-07-05,2022-07-15,PSATPIME,0.8800000000993411
2022-07-05,2022-07-16,PSATCNV,4.07999997138977
2022-07-05,2022-07-16,PSATFUR,0.257142862038953
2022-07-05,2022-07-16,PSATFZA,2.950000047683716
2022-07-05,2022-07-16,PSATIMBR,0.0
2022-07-05,2022-07-16,PSATITP,0.7777777815030681
2022-07-05,2022-07-16,PSATJIRA,0.8626506070056593
2022-07-05,2022-07-16,PSATLAJ,0.0
2022-07-05,2022-07-16,PSATPIME,1.154666660229365
2022-07-05,2022-07-17,PSATCNV,1.3
2022-07-05,2022-07-17,PSATFUR,0.39999999957425253
2022-07-05,2022-07-17,PSATFZA,1.6500000357627869
2022-07-05,2022-07-17,PSATIMBR,0.0
2022-07-05,2022-07-17,PSATITP,0.42777778084079426
2022-07-05,2022-07-17,PSATJIRA,0.4662650651242359
2022-07-05,2022-07-17,PSATLAJ,0.0
2022-07-05,2022-07-17,PSATPIME,0.8466666681567826
2022-07-05,2022-07-18,PSATCNV,0.9999999880790711
2022-07-05,2022-07-18,PSATFUR,0.01428571449858802
2022-07-05,2022-07-18,PSATFZA,0.7000000178813934
2022-07-05,2022-07-18,PSATIMBR,0.0
2022-07-05,2022-07-18,PSATITP,0.1055555579562982
2022-07-05,2022-07-18,PSATJIRA,0.4289156627583217
2022-07-05,2022-07-18,PSATLAJ,0.0
2022-07-05,2022-07-18,PSATPIME,0.8986666637659072
2022-07-05,2022-07-19,PSATCNV,2.1800000190734865
2022-07-05,2022-07-19,PSATFUR,0.0
2022-07-05,2022-07-19,PSATFZA,0.800000011920929
2022-07-05,2022-07-19,PSATIMBR,0.0
2022-07-05,2022-07-19,PSATITP,0.3611111177338494
2022-07-05,2022-07-19,PSATJIRA,0.5759036161274798
2022-07-05,2022-07-19,PSATLAJ,0.0045454546131870974
2022-07-05,2022-07-19,PSATPIME,0.9453333358963332
2022-07-05,2022-07-20,PSATCNV,4.1999999523162845
2022-07-05,2022-07-20,PSATFUR,0.05714285905872073
2022-07-05,2022-07-20,PSATFZA,2.450000047683716
2022-07-05,2022-07-20,PSATIMBR,0.0
2022-07-05,2022-07-20,PSATITP,0.7500000078645016
2022-07-05,2022-07-20,PSATJIRA,1.209638554557978
2022-07-05,2022-07-20,PSATLAJ,0.03409090959890322
2022-07-05,2022-07-20,PSATPIME,0.8879999997218452
2022-07-06,2022-07-07,PSATCNV,0.0
2022-07-06,2022-07-07,PSATFUR,0.0
2022-07-06,2022-07-07,PSATFZA,0.0
2022-07-06,2022-07-07,PSATIMBR,0.0
2022-07-06,2022-07-07,PSATITP,0.0
2022-07-06,2022-07-07,PSATJIRA,0.16506024198718824
2022-07-06,2022-07-07,PSATLAJ,0.0
2022-07-06,2022-07-07,PSATPIME,0.001333333353201548
2022-07-06,2022-07-08,PSATCNV,0.0
2022-07-06,2022-07-08,PSATFUR,0.0
2022-07-06,2022-07-08,PSATFZA,0.0
2022-07-06,2022-07-08,PSATIMBR,0.0
2022-07-06,2022-07-08,PSATITP,0.0
2022-07-06,2022-07-08,PSATJIRA,0.791566266981234
2022-07-06,2022-07-08,PSATLAJ,0.0
2022-07-06,2022-07-08,PSATPIME,0.1826666686932246
2022-07-06,2022-07-09,PSATCNV,0.0
2022-07-06,2022-07-09,PSATFUR,0.0
2022-07-06,2022-07-09,PSATFZA,0.0
2022-07-06,2022-07-09,PSATIMBR,0.0
2022-07-06,2022-07-09,PSATITP,0.0
2022-07-06,2022-07-09,PSATJIRA,1.1012048189898571
2022-07-06,2022-07-09,PSATLAJ,0.0
2022-07-06,2022-07-09,PSATPIME,0.5493333325783414
2022-07-06,2022-07-10,PSATCNV,0.0
2022-07-06,2022-07-10,PSATFUR,0.0
2022-07-06,2022-07-10,PSATFZA,0.0
2022-07-06,2022-07-10,PSATIMBR,0.0
2022-07-06,2022-07-10,PSATITP,0.0
2022-07-06,2022-07-10,PSATJIRA,0.17349397660378948
2022-07-06,2022-07-10,PSATLAJ,0.0
2022-07-06,2022-07-10,PSATPIME,0.3400000043710073
2022-07-06,2022-07-11,PSATCNV,0.14000000357627868
2022-07-06,2022-07-11,PSATFUR,0.0
2022-07-06,2022-07-11,PSATFZA,0.0
2022-07-06,2022-07-11,PSATIMBR,0.0
2022-07-06,2022-07-11,PSATITP,0.027777778191698917
2022-07-06,2022-07-11,PSATJIRA,0.20963855563517078
2022-07-06,2022-07-11,PSATLAJ,0.0
2022-07-06,2022-07-11,PSATPIME,0.5106666651368141
2022-07-06,2022-07-12,PSATCNV,2.039999985694885
2022-07-06,2022-07-12,PSATFUR,0.0
2022-07-06,2022-07-12,PSATFZA,1.75
2022-07-06,2022-07-12,PSATIMBR,0.0
2022-07-06,2022-07-12,PSATITP,2.055555548932817
2022-07-06,2022-07-12,PSATJIRA,2.0867469755102355
2022-07-06,2022-07-12,PSATLAJ,0.0
2022-07-06,2022-07-12,PSATPIME,0.3840000049273173
2022-07-06,2022-07-13,PSATCNV,7.899999904632568
2022-07-06,2022-07-13,PSATFUR,0.0
2022-07-06,2022-07-13,PSATFZA,10.049999713897705
2022-07-06,2022-07-13,PSATIMBR,0.0
2022-07-06,2022-07-13,PSATITP,4.138888915379842
2022-07-06,2022-07-13,PSATJIRA,3.715662634695869
2022-07-06,2022-07-13,PSATLAJ,0.0
2022-07-06,2022-07-13,PSATPIME,0.4453333338101706
2022-07-06,2022-07-14,PSATCNV,7.699999904632568
2022-07-06,2022-07-14,PSATFUR,0.0
2022-07-06,2022-07-14,PSATFZA,5.75
2022-07-06,2022-07-14,PSATIMBR,0.0
2022-07-06,2022-07-14,PSATITP,1.655555546283722
2022-07-06,2022-07-14,PSATJIRA,0.8216867470238584
2022-07-06,2022-07-14,PSATLAJ,0.0
2022-07-06,2022-07-14,PSATPIME,0.3960000003377597
2022-07-06,2022-07-15,PSATCNV,8.219999885559082
2022-07-06,2022-07-15,PSATFUR,0.042857143495764055
2022-07-06,2022-07-15,PSATFZA,3.149999976158142
2022-07-06,2022-07-15,PSATIMBR,0.0
2022-07-06,2022-07-15,PSATITP,0.08888888979951541
2022-07-06,2022-07-15,PSATJIRA,0.6012048256325435
2022-07-06,2022-07-15,PSATLAJ,0.0
2022-07-06,2022-07-15,PSATPIME,0.6359999982515969
2022-07-06,2022-07-16,PSATCNV,4.7399999618530275
2022-07-06,2022-07-16,PSATFUR,0.02857142899717604
2022-07-06,2022-07-16,PSATFZA,1.550000011920929
2022-07-06,2022-07-16,PSATIMBR,0.0
2022-07-06,2022-07-16,PSATITP,0.30555555762516134
